Dataset,Datatype,Model,Unit,N,RMSE,MAE,Relative_MAE,Pearson_r
Pol130,Electric field,wB97M-V,Å³,296,0.7992815642671743,0.2815120212334237,0.04808725093863658,0.9971982520080716
Pol130,Electric field,MACE-POLAR-1-S,Å³,296,8.611686836971217,5.150170496415951,1.0497629100187802,-0.06669322184731896
Pol130,Electric field,MACE-POLAR-1-M,Å³,296,7.638157561284479,3.256213696609556,0.612135312400115,0.08085661044949644
Pol130,Electric field,MACE-POLAR-1-L,Å³,296,7.807098325551522,3.317788681964307,0.6216539941389385,-0.00970298712400402
