Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
T144,Electric field,0.0171349391893126,0.0372684741122636,0.0133126077817804,0.0203268119016698,0.0334959917499881,0.0133912787986908,0.0134734243633367,0.0160803783751955,0.0218685404760922,0.0243378768395347,0.0247526280153616,0.0149341535337735,0.0150085356554124,0.0316168663491572,0.0149882630344751,0.0391406837925791,,,
V30,Frequency,26.327785643638844,31.87772867059826,33.04614314305117,31.916794262206828,85.95834155779872,39.75141942636876,30.457576021769498,37.60228270847912,52.97327741223998,21.74111747474573,43.74147758766858,40.95257602676794,50.06355222922336,27.787818792356006,35.78043436693414,9.808375653218103,53.55692886884063,45.50151957502038,45.81311334978527
ACONF,Intramolecular Noncovalent,0.0676825987410343,0.943369007547387,0.1959028897075833,0.6874417367684303,0.0360485367578691,0.081694437674294,0.2452807944514866,0.3993514720611342,0.5223135180856141,0.6305366425166608,0.2025190107420149,0.4443692109046725,0.42211351226867,0.0575184178265312,0.0175291173875781,0.0316652230196861,,,
Amino20x4,Intramolecular Noncovalent,0.0848619402538085,0.657685091605078,0.3138670533790641,0.5164997403353098,0.2861945601387455,0.287303296446484,0.3013525958550028,0.3876145991731851,0.5209395589069227,0.4821176585285524,0.3797300548001328,0.3897173253786271,0.3105273742348268,0.1889083252774582,0.1853873037326654,0.1242883276096102,,,
BUT14DIOL,Intramolecular Noncovalent,0.0526712264484372,0.4090306623553681,0.1173832007743568,0.1856866628158712,0.2482053326858373,0.269938105572079,0.1264412010001732,0.2818438232105302,0.3944960418063805,0.2576734956598774,0.5417810455807941,0.1846420634816001,0.1107859259959886,0.0291529714340541,0.0319086645740934,0.043711801336282,,,
ICONF,Intramolecular Noncovalent,0.1235258379132158,0.5837508797271405,0.3819480261457255,0.5301200811973684,0.2633626625114401,0.278075925182788,0.296974620618966,0.5106083422184464,0.5397584790813641,0.4050548591736931,0.2583767232813495,0.4287752303781752,0.3766287352911681,0.14058225788281,0.2590056021909014,0.1185923407596842,,,
IDISP,Intramolecular Noncovalent,1.4264694293116504,16.264772632382815,6.713939130091652,11.061309706135502,1.7038029517143698,2.0392238757112278,1.9785832321979269,2.939376155166249,3.619886689998389,9.52670544925875,7.1477097812639485,9.600741192398182,6.0398496486871,1.654054230695691,2.6093272247640966,6.466069829782502,,,
MCONF,Intramolecular Noncovalent,0.3522803944938881,2.4788337609006788,0.9095897069737188,1.7657560429808543,0.1954577460402037,0.1795072574384585,0.3528951249554927,0.4888404901344708,0.5411624170849008,1.6656003151864611,0.9847952446426362,1.471163914632782,0.7460214521988013,0.3582923376259502,0.2294805874780084,0.1457818871103079,,,
PCONF21,Intramolecular Noncovalent,0.382442914132009,3.8034407831054193,1.2945844209863155,2.86849497187487,0.2706052333406706,0.5204610850261848,0.8875596389547992,0.8258519295712639,1.1382165308932268,3.0825866880645507,1.313350063935803,1.991441821681788,1.320037178245414,0.5761295700446687,0.290419998913823,0.1555119691039906,,,
Pentane13,Intramolecular Noncovalent,0.1340421548128903,0.4114259694873163,0.1337444208719767,0.3565437527273707,0.1094475296638416,0.1777526884354834,0.1085332330120861,0.2492860985701113,0.2788632641214358,0.3015969681257828,0.1435965278539406,0.2252559520751164,0.4702535009791267,0.0888769598091976,0.0455405918320461,0.0606002797517776,,,
SCONF,Intramolecular Noncovalent,0.1492250861153417,0.7421860257756595,0.2357942666445732,0.3337028424031895,0.1649213386313447,0.2140781496757322,0.2546140620268926,0.2906429466735987,0.4939088127708373,0.3052090730835712,0.2847622268471408,0.355597234845053,0.1108718731610052,0.1298260773625741,0.1631399462824427,0.0997598752776416,,,
UPU23,Intramolecular Noncovalent,0.3468948028181424,2.479865014430987,1.7356874675210827,1.996589607935947,0.4369247521047119,0.9276034717135596,0.5987261955887727,0.8300337478315174,0.5262254643438641,1.9014996542090343,1.4645820666591376,2.067024932591597,1.124553576181473,0.4395429562298205,0.5249793151091658,0.4275398581660217,,,
AlkIsomer11,Isomerization,0.0333575636904198,3.20870742385028,1.2967327830238398,2.307683330257341,0.0741123163060228,0.1264426434353976,0.1495387593022925,0.1746193817595458,0.520879022723526,2.2902269579507464,1.773344700164886,2.2843072560451443,1.1699688240426414,0.17135378960031,0.575735361637987,0.2970028196370102,,,
C20C246,Isomerization,4.293600659297613,49.60887188119556,12.131390683133526,30.598087701250776,15.940918412744557,19.61888593640044,25.82351016034835,21.896311163894875,11.700187131396008,12.931303563845248,20.322465926284355,12.56909109148431,14.614911859231595,6.849969504373252,6.652857640257576,33.160683808643604,,,
C60ISO7,Isomerization,2.1552149052832803,1.8286227767119403,4.591420162150101,10.010694802151722,4.269973826407148,9.557815970437796,7.556131934699223,8.170305227719103,1.909732983687385,2.239942184601699,1.970523582616506,6.769587625061933,4.538116468736418,11.356181880708748,13.021506289352825,36.3890375741427,,,
DIE60,Isomerization,0.2423456235009426,1.3453936823414083,0.6056579044460904,0.6745211936467491,0.6255488838260698,0.413546528558217,0.5729166551165294,0.7234788874905924,0.7686875581170651,1.4779391538620106,1.3167261864276756,1.0877112182758562,1.3939034511505677,0.583519898481437,0.647225884097931,0.3499574473398026,,,
EIE22,Isomerization,0.2138591641831743,1.582675848443481,0.6701039597804883,0.7973239752438538,0.529723111848939,0.4002748717937198,0.3195095744237806,0.4230542390741903,0.7109990899170003,1.4012347903641098,1.308193250418852,1.0269038279216376,1.392869581342083,0.1939076545415916,0.2225117672219324,0.4193207390571303,,,
ISO34,Isomerization,0.35871319222189,2.2605839590452934,1.2005426414748868,1.2998805804441975,0.6024998994106878,1.0635224245340844,1.2330451129651427,0.957809971174812,1.491343091172235,1.6428627413482526,1.4282003729879442,1.4471781789288258,1.385965524856994,0.6126737474261753,1.1554642581502348,0.3486488707965652,,,
ISOL23,Isomerization,0.9753156116174506,9.804147105190571,3.799864759422283,5.548262603174438,1.8136193423320088,2.7567688428876376,2.944982659478954,2.292861941915337,2.749698199837412,4.070171749930451,5.349573762748527,3.6231215077191727,3.31697178445548,1.4469981925876667,2.764286444595939,3.817652341659543,,,
