Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
3d4dIPSS,Transition Metal,9.534779961779918,29.42660967453035,29.646953902127574,26.249492524701708
CUAGAU83,Transition Metal,8.467413301097794,39.28772259748963,37.19698593275931,26.907039946288585
DAPD,Transition Metal,7.994102069394432,30.24384020907255,11.303951176901037,10.269638881736439
MME52,Transition Metal,4.47755237539165,,,
MOBH28,Transition Metal,2.196851351832798,8.723697116323786,4.528700548496413,3.639597798096871
MOR13,Transition Metal,2.498185323221956,10.889991669512746,6.352084781737927,7.8844386538687194
ROST61,Transition Metal,3.901218859707964,9.185483826216476,5.591988000402803,4.822485869519252
TMB11,Transition Metal,2.401900560260487,6.233006328983735,5.234792750230937,3.9614076619126934
TMD10,Transition Metal,7.364714734332442,32.064326731631596,10.344461204002169,12.367799156170879
