Statistic,wB97M2,wB97M-V,CF22D,wB97X-V,revDSD-PBEP86-D4,M052X,M062X,M08HX,MN15,r2SCAN0,PW6B95,PBE0,CAMB3LYP,SOGGA11X,BMK,B3LYP,MACE-POLAR-1-S,MACE-POLAR-1-M,MACE-POLAR-1-L,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3
Mean,0.9485324850586015,1.0755385023409247,1.249257105058552,1.3129051214469012,1.5219594670354637,1.941493346062824,1.971004445883537,1.993475061921519,2.009869356371978,2.8116739972988687,3.277356932074512,3.477682270471729,3.648005097330594,4.114856776341645,4.52362009851307,5.691160285540082,28.467408159014383,7.685862349777842,51.3595941099159,11.304138683134038,954.5605790844073,348.81917194764503
Mean Barrier Height,0.6682301509999484,1.0615777948677705,1.1170467075921746,1.5679579980534364,1.21654957310908,1.980175216602122,1.5384461460877548,1.2538321969192732,1.3678748932916722,2.0758731186331736,1.939300075785767,2.4304984214237195,2.261613590144001,1.5385014494360008,1.6315653747812078,3.292905240210722,5.801192348449089,2.0175809574779264,1.5162375463714453,1.4995976124086035,2.5087052273234827,12.486374073752787
Mean Electric field,1.0389058261770845,1.80723936636532,1.9816234926156135,1.0408930977678472,1.88740310020864,1.062329342658492,1.020916802364559,1.2059352720972183,1.5371837421726382,1.1161389397054065,1.4724692558513328,1.5685373541390724,1.2987277706133755,1.0892859664303152,1.0450579976753374,2.068887455683057,331.6308384890782,92.15029221116049,95.69973569358442,,,
Mean Frequency,0.8761390189108855,0.9247261666417655,2.860531381523644,1.1907053288404932,0.3264042308091426,1.3228522173473678,1.0135706487174443,1.2513330033502676,1.7628506980672671,1.6660205353769828,1.4556338226884624,0.7235033584737633,1.0621306778387134,1.3628244421169182,1.0997132772211318,1.0608306486768089,1.7822735170423811,1.5142046983751898,1.5245739511416947,1.520632124872991,1.6783251117860092,6.485321330947544
Mean Intramolecular Noncovalent,1.0212744636477855,1.070760594234186,1.254228493669825,0.9298746049867764,1.0031513924335278,1.7075206893035066,1.974323386417984,2.9647082310094857,3.717786348261253,3.4250015680481987,3.4000011998850006,5.472002700319377,5.756046004437874,4.465077789117875,2.860608106593312,8.069714020115045,2.9915261170669183,1.6891678804312118,1.55248978944157,1.4313284616713187,1.5603254511156448,20.65026034230954
Mean Isomerization,0.5554706594409681,1.3026256225292394,1.2205685157285704,1.9039982587430169,3.066442516463452,1.7614001811234945,1.6087310781155344,1.594667840163089,1.7684740556372405,2.7628751331704158,3.0127406389923097,3.435986542940128,3.6031200079395806,3.252295269709015,2.3406372167498826,4.920660937042597,1.9245744182880602,1.7132237041680975,1.4625925021782378,,,
Mean Noncovalent,1.0974513276291946,0.8907496469055051,1.408631313497503,0.9785908341633726,1.2320597108469644,2.6457961867534943,2.6228941706177875,2.5426582549020367,2.319516178483718,3.6077982991115674,4.936263404743011,5.070317696035595,5.355664417772943,7.432988269066845,9.050913293739708,9.16296128705797,15.807881587264498,5.791843964701977,136.17986045448723,,,
Mean Thermochemistry,0.924646296873365,1.1099940360105252,1.0514733127841014,1.5673867316491432,1.653728971267124,1.4631116495998713,1.5780742084171744,1.571916769843532,1.7850971557335542,2.5258601942763144,2.621910765137442,2.35314393346673,2.5051831055742504,2.391825476616752,2.5973329799792677,3.692115757406075,30.568657657221443,5.369292266516356,5.900599181259763,16.56381546503156,1488.8900248549082,526.9590915094301
Mean Transition Metal,1.0518724216847113,1.187662088716749,1.0392489530792466,1.2681115797721614,1.353032116155236,1.7444041121162723,2.282591344538274,2.222966651198292,1.1039169684293906,1.6568589798786686,1.3635814195094946,1.6101990554111163,1.85042557165491,2.0348097504646434,1.989480660640205,2.128674061919512,4.582099607982112,2.983136819267785,2.7367751498317414,,,
