Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,-0.047921509048206246,-0.6027158217234699,1.8112679084420285,1.4015046544146894,0.08561062450471404,-0.5540770110851495,0.05254232745985627,0.9005070494270898,0.40574833859870224,-1.010161172298212,-0.15564058320253032,2.277803363203834,-0.6950675563757936,0.14347203601808037,1.5049489031919925,1.0695100452910067
BH46,Barrier Height,-0.49496436789859305,-4.419492549420599,-0.5397128064992281,-2.800803939644098,-1.268653364839957,-0.4579787412334165,-0.41699904268434673,0.13289472579446945,-0.7998402987677753,-3.8407537091826645,-3.1481419183204777,-1.0432343519311642,-3.0038401384183486,-1.3283116618187265,-1.3658872797083434,0.4216377368484237
BH876,Barrier Height,-0.9418563857592913,-1.0596878792598747,1.6537172022492017,1.7739420155898713,-0.7853149530823179,-0.8358592118460818,-0.5799429741146499,-0.17067538500790838,-1.0508191446681086,-1.5185963649860195,-1.5946336645397616,2.1541735842348317,-1.6188186638846995,-0.1699681195089124,0.91156119591318,1.124326818552944
BHDIV7,Barrier Height,-0.6665201872098415,-1.6655732786855406,-0.734495159979596,-0.3584563335965148,-1.2635531665978146,-0.6405063695960287,-1.0243577695893482,-0.4484802501613393,-1.828539326814371,-4.158965598640979,-2.251768721239718,-0.6509087644826754,-2.8515207081514555,-1.4722636962125644,-0.5406993203655431,-0.5798346761922861
BHPERI11,Barrier Height,-0.15080737239500683,5.643750373595,3.242207656047071,6.589607720138097,1.1374578434185418,-0.8488273307053912,0.9373399151435625,-0.3655399792035004,0.93244141646913,-0.19363114606565948,1.8139922823797294,4.539058011513699,-0.7486763222503598,1.3359406075006326,2.6860040459141388,0.3569678407284313
BHROT27,Barrier Height,0.06420825449128531,0.31349390690470474,0.5151573772661395,0.3494783354355351,0.21665113208034847,0.45837525119236616,0.3484453618658743,0.3750857164913289,0.4550953614139522,0.5320525144021742,0.4862837280648139,0.35401361135026094,0.7940577002553865,0.051002766165782754,0.16730881642284026,0.09521285813979229
CRBH14,Barrier Height,-1.4193213180077504,-8.819444612852056,-2.8496159300407755,-1.329272847886046,-2.2725223779275576,2.4185636977162956,0.7018378726594356,0.5999205673427989,-0.15963834744883748,0.5443907076012425,-4.385917178729863,0.036046578031629854,0.20349815808153288,-1.1396804343044435,2.8205153350511485,-0.2942907144140037
DBH22,Barrier Height,-0.23581352801882496,-3.889224885067955,0.00857059570725337,-2.1207108840361126,-1.1253132247201016,0.23589518411813434,0.07427281714011379,0.2808532144808613,-0.6864113696188912,-3.1811698808050397,-2.4649576412983008,-0.4910065252621705,-2.762617655971999,-0.7572409396053419,-0.27438472987878165,0.692049209984651
INV23,Barrier Height,0.27965000636412624,-1.7417123305382087,-0.6441809684315009,-1.048153956641145,-0.3733004206118166,-0.3191243628749907,-0.2763689803123302,-0.2559926727226331,-1.6708977417873025,-1.2252094079399176,-1.234585859128575,-0.3085685294755193,-0.17638513741285786,-0.19222342205446855,-0.0892932967585574,-0.4368010119838706
ORBH35,Barrier Height,0.7693361658946325,-2.0783360517578573,0.3204916303374604,-0.6956705768696295,0.09290163019018932,0.5426130288461924,1.1156514551577066,1.3592968033407604,-0.15499435960177724,-1.7268411235899728,-1.2830399408449966,0.4589532093787226,-1.290589039382384,-0.11585825391694438,-0.023679851701891096,3.3616512455439724
