Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AlkIsomer11,Isomerization,0.19291766374359615,0.24913665242531224,0.07321576509552033,0.0764493390846139
C20C246,Isomerization,8.319817656762998,20.849865823842688,49.87764109893031,14.975797892647677
C60ISO7,Isomerization,12.439966192328939,12.569950236512748,13.874253296547051,17.852073365149288
DIE60,Isomerization,0.6537682601618601,1.1028437906229904,0.7934132096999309,0.7916998456550023
EIE22,Isomerization,0.24088656662576555,0.6917416630523707,0.38704961326116866,0.2636778377185458
ISO34,Isomerization,0.8073806673275967,0.9074747559082129,0.8929068872002849,0.894684974597634
ISOL23,Isomerization,2.133776114188941,4.884568930894626,2.260496384732299,1.9086698201908079
ISOMERIZATION20,Isomerization,1.9059219103850717,2.181074816914358,1.7556116191515767,1.8053635784657964
PArel,Isomerization,0.9163869152447536,2.2887723979453627,1.0465313251094728,0.8105472058135397
Styrene42,Isomerization,1.7413106374289737,3.4147037096463935,2.498016413571111,1.97275015332136
TAUT15,Isomerization,0.4437333843792317,0.7281330738836858,0.5518940400602653,0.5093746579510968
