Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,0.5857980990748342,3.583308308164366,2.2393246929228074,2.7055682414863993,0.8349158775979897,3.068055953679528,2.402701948004174,2.1778475897509537,1.5271566606966491,2.8234612477554424,1.7107627594019756,2.438824118508576,2.469192403668347,0.9850912835756124,2.2972995357323116,2.0076617779697936
BH46,Barrier Height,0.6859453566638506,4.494691391350567,1.392367957152867,3.02789652167922,1.4074242203134817,1.456200988723466,1.2874523236784494,0.9180352099789755,1.2393642687412398,4.0554379134258784,3.2200007892366265,1.6082397053456288,3.2345888007334445,1.4193168480753358,1.884715719680617,1.069908658016087
BH876,Barrier Height,1.3267368894497547,4.591483575294964,2.4282823547864223,2.839539878658996,1.5670054425508941,1.5779600979440158,1.550216431137176,1.6117918871029067,1.966964454023832,2.6788629746660373,2.8609016456878895,2.7553083001980863,2.2324088682363477,1.3681653164602576,2.1794365810200067,3.174890685383531
BHDIV7,Barrier Height,0.7839289489049869,2.716746473392685,1.1128152432411351,1.6857564844500676,1.3709331256892567,1.3256974647646318,1.128434016777657,1.0515306778924436,1.828539326814371,4.158965598640979,2.251768721239718,1.2171834436713211,2.8515207081514555,1.4722636962125644,0.8375794491357238,0.7640743224431247
BHPERI11,Barrier Height,0.4567649733428023,6.466340814423418,4.02833345287604,6.589607720138097,1.1374578434185418,1.2988329944686188,1.1053735806438185,1.2012856313249054,1.092990514056055,0.9464912395078922,2.0434212922648336,4.539058011513699,1.154441518443637,1.3359406075006326,2.6860040459141388,2.0676511521059724
BHROT27,Barrier Height,0.1511695260742998,0.41451047034789984,0.5751431321268172,0.4183373903469484,0.24289608832189308,0.47666844921157214,0.35507364217904647,0.42259850736142546,0.4769017479240287,0.5842715101312732,0.5604000945302636,0.38207744796528803,0.7940577002553865,0.2217443290019187,0.30561346629975844,0.10179519201382042
CRBH14,Barrier Height,1.4193213180077504,8.819444612852056,2.8496159300407755,1.5782285541625831,2.2725223779275576,2.4185636977162956,1.2166730274635877,0.8708479799731984,0.8210424140645023,0.9964408950344844,4.385917178729863,1.1992483488742163,0.7488721282257933,1.1396804343044435,2.8205153350511485,0.5029545844630141
DBH22,Barrier Height,0.5058653220906755,3.9488727410786315,1.3214022369672864,2.4906751530063356,1.417453112692347,1.4128626954901025,0.8899809793518932,1.053522840760362,1.38909055156145,3.4668971695896285,2.555764913794685,1.2770633302761463,3.1801878513293973,1.174704464054866,1.3914838384765902,0.9858495470660682
INV23,Barrier Height,0.6707369592840688,1.8891858038793188,1.497317601657554,1.6258539167479358,1.22828557124742,1.4249733030421747,1.3239076666321135,1.4942210006355316,2.4622898000208893,1.5603977241551457,1.5456311248401793,1.4509636432350483,1.3220317269891557,1.0580395608231514,1.2471424901172792,2.048850962052594
ORBH35,Barrier Height,2.338145830644315,2.859778354534345,2.314458352012379,2.2651234173137174,2.1584019182843535,2.527938869762806,2.9545031346117194,3.2520270163765694,2.6418026260503154,2.9760093490757185,2.611679243519115,2.3588064043750983,2.2996326679536456,2.1969168218617594,2.4883597925913747,4.7886293808668
