Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,0.7483956819356007,4.023696668420417,2.8259612623279264,3.1434533864067165,1.1008147866865157,4.29025605571072,3.0522644951467277,2.49360287656693,1.8252751000140466,3.3870387587281052,1.9387138253470086,2.7771020978747085,2.8889132583876767,1.285163335742605,2.911571035352108,3.1529253030882325
BH46,Barrier Height,0.8774830653669767,5.254465417725119,1.7095325875886174,3.76515389771183,1.9600425148139777,1.9483431277917975,1.5800216325352978,1.2207003645333188,1.7840760665892494,4.496440474966416,3.6582030407060993,1.9671331541621304,3.835217072052148,1.8413879085245262,2.218076180391241,2.2120165621058856
BH876,Barrier Height,1.8391281316531314,6.04510058947498,3.231804083446226,3.975826747373289,2.2017632496513073,2.076961403403889,2.109329600141707,2.095757708367342,2.5999179215188306,3.438690649887345,3.7838786074690587,3.7078895022429776,3.045488162265229,1.804771010623351,2.950287978820729,4.648226706101788
BHDIV7,Barrier Height,0.9495143357111987,3.375277863991812,1.640266660571678,1.9574484237644394,1.498746521767659,1.5009956692714557,1.4761101869269466,1.491253120954709,2.113860553805306,4.692305462976473,2.3980098246645025,1.4551734705730153,3.2645687578045814,1.8529179834477463,1.0580751982989822,0.96019350486613
BHPERI11,Barrier Height,0.6230363748948488,6.869891244510264,4.183328802858772,6.918804348119491,1.510590936142205,1.4816557783992907,1.5873931162170993,1.3368695647083808,1.734041570255302,1.168054755393311,2.2280826485187655,4.736797518183825,1.3832282582607152,1.629023423453799,3.466768567972693,3.9108452564867777
BHROT27,Barrier Height,0.19312464372134533,0.60357629352402,0.841260210855673,0.6651715744092945,0.3607010945183126,0.6569699810007169,0.5225873861068566,0.5989828684417259,0.6699111728323434,0.7822097450541126,0.7647933185687751,0.5112977099162563,1.0713578355435829,0.2987662495349404,0.42496878878313615,0.15194516453927093
CRBH14,Barrier Height,1.45696324956597,8.916703114813867,3.1653148089693994,1.9128123423370547,2.3299540912324614,2.5516243291574483,1.4209049214270746,1.0982390196421294,1.0522499923246351,1.1959457667250346,4.508800130383829,1.3773619063646216,0.8746416017078256,1.34602529499727,3.0048489453652105,0.5949386872571469
DBH22,Barrier Height,0.6440088951277766,4.795865874051273,1.6774109190975157,3.0741177849789003,1.8549060924167449,1.604172257949286,1.122507690036415,1.28499805924448,1.8964435322885524,4.469937869116674,3.2722822085650387,1.6837023699747202,3.7885817873520513,1.5248116042279776,1.7837731107611143,1.3833391963040007
INV23,Barrier Height,0.9703172140849899,2.140053077632534,2.1285681855380476,2.078282971236559,1.7779399131379108,2.155497158998265,2.151623250396439,2.2193403640666736,3.2713049812185253,1.953088927695475,1.9084027678333328,2.364932491954246,2.142419256558194,1.428791155746998,1.9662791805507842,3.137771417982539
ORBH35,Barrier Height,4.334887755571412,4.501427102554387,3.9418933032994024,3.6271132932782573,3.978596351724111,4.1161305830888395,4.63511873613572,4.8448463312805385,4.2616979105636625,4.377693945692109,4.054025540571833,3.8599429163445755,3.9151562239828763,3.919254253431618,3.7343247458595306,6.878061245948435
