Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AE11,Thermochemistry,368.8592165947299,3669760.5199879967,3669764.4210592667,3669765.113375707
AE18,Thermochemistry,5.308483992528279,13.568011248609947,7.85222986322354,7.633024678698515
AL2X6,Thermochemistry,1.3124680784634268,11.545165945022646,6.642998231594308,6.090954284176164
ALK8,Thermochemistry,2.502569984429649,77.79626961524062,72.81474701903328,43.84519595552901
ALKBDE10,Thermochemistry,3.5820114648165577,13.694625864613613,7.378500202434479,10.992001982756744
AlkAtom19,Thermochemistry,0.8708982653155347,983.1653072319341,31.31876570030845,64.19054703130273
AlkIsod14,Thermochemistry,0.9680492150724982,1.0286070438155797,1.4533585914667333,1.4770787699598975
BDE99MR,Thermochemistry,3.7022266581916177,14.898791648390155,5.263573129225202,9.747276011901086
BDE99nonMR,Thermochemistry,1.5260537239626146,31.759383046319595,3.695994029680163,4.690257905612257
BH76RC,Thermochemistry,0.8519222527033052,32.69237114645693,2.3751481949117994,2.320676344631645
BSR36,Thermochemistry,0.4844139985105923,0.7968259386599608,1.465528616082022,1.7164194109298754
CR20,Thermochemistry,0.4407818689179345,0.8664004887469738,0.403804829237271,0.4111503661317828
DARC,Thermochemistry,0.7062201791782119,1.3847791708602233,0.9539479965975656,0.9627918507138044
DC13,Thermochemistry,5.1496155659135106,32.35022191651077,13.003928606294691,10.116408053655938
DIPCS9,Thermochemistry,5.105520543319623,21.677547154479043,40.37548815349432,40.35248144827696
EA50,Thermochemistry,2.0673686294275186,17.409473048843896,12.914752261829236,11.143612776161245
FH51,Thermochemistry,0.9489390481535956,1.4323311225391018,1.2937304275018444,1.1423402190412606
G21EA,Thermochemistry,1.3691605645263976,11.480269540375023,6.1950799558946095,7.356534992834047
G21IP,Thermochemistry,3.1021035801103096,29.284054315334142,37.27334559447834,20.767000602519722
G2RC24,Thermochemistry,2.0494967078033985,2.2089036667639266,2.4539256039658692,2.4473630644477766
HAT707MR,Thermochemistry,3.31336400432819,13.730245636004929,5.106537936202878,5.581995115279698
HAT707nonMR,Thermochemistry,1.902893291660126,19.105889053281068,3.9758201797380592,6.453809113867647
HEAVYSB11,Thermochemistry,2.700294079556406,9.423484533433466,4.972450643202108,4.5039429566136455
HNBrBDE18,Thermochemistry,2.4849885860607213,5.25448266977014,2.357050491447405,4.117039769325934
IP23,Thermochemistry,2.6655135859284433,26.23365635958448,35.92131562155285,32.710557244010374
IP30,Thermochemistry,5.358702589153323,6.320130665827147,5.724189696542127,6.839126372388631
MB08-165,Thermochemistry,3.7904036679663684,12.789990016198647,8.119795022380309,5.353671612582026
MB16-43,Thermochemistry,15.430126484566387,30.178039190546702,39.41668283382607,27.87725916210451
MX34,Thermochemistry,13.552566531756169,21.376007607593515,36.8986876998968,49.87464301142364
NBPRC,Thermochemistry,0.9487755260665577,4.188935053448732,1.7934803786651496,2.823834562289098
P34AE,Thermochemistry,4.0268157370348865,217.14273705798652,9.06982394848372,16.02188990643744
P34EA,Thermochemistry,2.7821172330069626,42.33208157685689,39.462127486688374,31.373184843109325
P34IP,Thermochemistry,3.095432034289041,42.48767815751493,57.791686084452145,33.666927425041926
PA26,Thermochemistry,1.5033153819055727,4.046593151392253,2.342065055818729,2.1093850568435224
PlatonicRE18,Thermochemistry,3.612016518474875,5.101065260302202,3.2238890892789343,2.9856603534715855
PlatonicTAE6,Thermochemistry,4.017468880254512,768.6736607499361,10.38459546967484,95.36953840246356
RC21,Thermochemistry,1.8180106381833372,10.24538005265547,2.4201456751809562,2.655999090927943
RSE43,Thermochemistry,0.7865778313128037,1.3347020121689186,0.8068181697051181,0.6317891524978193
SIE4x4,Thermochemistry,10.612596235922776,93.10533956605231,32.91660162421133,37.61491862712673
SN13,Thermochemistry,0.5044102454502243,26.88037237811992,3.146478978597903,2.055701520468031
TAE_W4-17MR,Thermochemistry,3.964409077846841,25.00502222980386,8.41537367792637,26.98742770640817
TAE_W4-17nonMR,Thermochemistry,1.6956879779425096,172.00852098097184,7.535484794499634,22.274856701922257
WCPT6,Thermochemistry,0.3426055309534271,0.5869826537273962,0.47861159458888897,0.43548624789615126
YBDE18,Thermochemistry,2.978937531800584,6.640022556935148,2.1335943371959902,3.9156331321386824
