Dataset,Datatype,wB97M-V,mace-polar-1-l
3d4dIPSS,Transition Metal,5.105710718116072,19.230844460315325
CUAGAU83,Transition Metal,5.875245087556626,17.44170699630457
DAPD,Transition Metal,6.264820621215809,8.334348330160687
MME52,Transition Metal,2.58171358274318,
MOBH28,Transition Metal,1.632152331397974,2.7555139310059227
MOR13,Transition Metal,2.1462186770072877,6.499946212704573
ROST61,Transition Metal,2.7851223295427836,3.6727011606476707
TMB11,Transition Metal,1.3063884309858533,3.499527892249145
TMD10,Transition Metal,5.7028461165493765,9.019827490205095
