Thermochemistry Subset,wB97M-V,MACE-POLAR-1-S,MACE-POLAR-1-M,MACE-POLAR-1-L,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3
Ionization Potentials,3.717807283413202,20.71046047520529,26.368814117081122,19.815558964365867,140.6400057154044,117.2855351326625,276.6620095692436
Electron Affinities,1.703430722700606,14.318901596141199,9.412152396965784,9.169615010770967,11.197224120108649,12.500811405194439,37.009318355113706
Proton Affinities,1.503315382,4.046593151,2.342065056,2.109385057,29.57536268,40.58394407,110.0690242
"Mindless Molecules
(MB08/16)",6.120096175485848,16.27021102916199,14.383872458513682,9.861771504850541,8.66568170041498,16.305635741316742,82.07940797972023
"Bond Dissociation
Energies",1.9106274864216048,8.776622885174692,2.8774134694170823,4.3400854404780285,5.5615434527606755,10.129759801291481,15.446918355713889
Radical Stabilization,0.786577831,1.334702012,0.80681817,0.631789152,4.970396672,4.521317209,8.099161522
