Datatype (MRE Values),wB97M2,wB97M-V,BMK,B3LYP,MACE-POLAR-1-S,MACE-POLAR-1-M,MACE-POLAR-1-L,MACE-OMOL-0-100M,MACE-OMOL-0-4M,MACE-MP-0b3
Barrier Height,0.668230151,1.061577795,1.631565375,3.29290524,5.801192348,2.017580957,1.516237546,1.499597612,2.508705227,12.48637407
Electric field,1.038905826,1.807239366,1.045057998,2.068887456,,,,,,
Frequency,0.876139019,0.924726167,1.099713277,1.060830649,1.782273517,1.514204698,1.524573951,1.520632125,1.678325112,6.485321331
Intramolecular Noncovalent,1.021274464,1.070760594,2.860608107,8.06971402,2.991526117,1.68916788,1.552489789,1.431328462,1.560325451,
Isomerization,0.555470659,1.302625623,2.340637217,4.920660937,1.924574418,1.713223704,1.462592502,,,
Noncovalent,1.097451328,0.890749647,9.050913294,9.162961287,,5.791843965,,,,
Thermochemistry,0.924646297,1.109994036,2.59733298,3.692115757,,5.369292267,5.900599181,,,
Transition Metal,1.051872422,1.187662089,1.989480661,2.128674062,4.582099608,2.983136819,2.73677515,,,
